rnn_type,units,learning_rate,activation,mse,mae,training_time,final_val_loss
simple,32,0.01,tanh,0.013129698208744173,0.09261463570794645,3.674215793609619,0.0036823914851993322
simple,32,0.01,relu,0.013134147080397085,0.09154826315857292,3.4379091262817383,0.0034048722591251135
simple,32,0.001,tanh,0.014822334856858948,0.09716983632787232,3.598989963531494,0.0026112236082553864
simple,32,0.001,relu,0.013694203442646028,0.09433835883647597,3.5126049518585205,0.002767643891274929
simple,32,0.0001,tanh,0.017018475476138488,0.10378976646331477,3.449326992034912,0.003949131816625595
simple,32,0.0001,relu,0.015390903815181592,0.10076680782451505,3.443298101425171,0.003612423548474908
simple,64,0.01,tanh,0.017013719935240187,0.10397002939868419,3.65327525138855,0.002425834070891142
simple,64,0.01,relu,0.01416127268564068,0.09648855528755895,3.754157066345215,0.0034870505332946777
simple,64,0.001,tanh,0.013335989612845786,0.09308436139799656,3.5866539478302,0.0035610399208962917
simple,64,0.001,relu,0.013462230787923735,0.09236024840369497,3.5886857509613037,0.00262347306124866
simple,64,0.0001,tanh,0.014821798590872976,0.09752449981896487,3.688500165939331,0.003907074220478535
simple,64,0.0001,relu,0.01494265499727157,0.09913987386052822,3.6563162803649902,0.0034702110569924116
simple,128,0.01,tanh,0.01729892110708185,0.10692787690583341,4.161435842514038,0.003100048750638962
simple,128,0.01,relu,0.013204696916019143,0.09322152265465708,4.140297889709473,0.003637830726802349
simple,128,0.001,tanh,0.01294643377569169,0.09162176365716682,4.2227959632873535,0.003928610123693943
simple,128,0.001,relu,0.012860871361665402,0.09114215512411136,4.083484888076782,0.003103039925917983
simple,128,0.0001,tanh,0.01406988997761637,0.09495926815184447,5.1843578815460205,0.004152713809162378
simple,128,0.0001,relu,0.015404108094496206,0.09994867741328806,4.466607093811035,0.004368450026959181
gru,32,0.01,tanh,0.013267239063391289,0.09302841896145042,4.750720024108887,0.003343903226777911
gru,32,0.01,relu,0.013228637703523546,0.09300403669965826,4.616472959518433,0.0039779734797775745
gru,32,0.001,tanh,0.01375209624783028,0.09498040390816713,4.58556604385376,0.002771061612293124
gru,32,0.001,relu,0.013886449965767132,0.0950852922847978,4.993791103363037,0.0037381984293460846
gru,32,0.0001,tanh,0.01944889929379207,0.11411636835484136,4.69887900352478,0.0034139363560825586
gru,32,0.0001,relu,0.01532598076266698,0.100964276008437,4.684805870056152,0.0034101707860827446
gru,64,0.01,tanh,0.013095046049131517,0.09179632593738593,5.3442652225494385,0.0035245283506810665
gru,64,0.01,relu,0.013636652996509544,0.09455768425620074,5.598407030105591,0.004153470508754253
gru,64,0.001,tanh,0.013702431401645865,0.0944843727848514,5.172173023223877,0.002900688210502267
gru,64,0.001,relu,0.013766234545034922,0.09500494963630254,5.189309120178223,0.002991351066157222
gru,64,0.0001,tanh,0.019074262748264667,0.112763869955482,5.31611180305481,0.0035637442488223314
gru,64,0.0001,relu,0.017802602794317036,0.10921399514821654,5.5129430294036865,0.0043378667905926704
gru,128,0.01,tanh,0.013453668406606117,0.09317332277210381,7.44342565536499,0.0037015615962445736
gru,128,0.01,relu,0.013544407787703217,0.09415610030676139,7.177967071533203,0.004174455069005489
gru,128,0.001,tanh,0.01315554597561212,0.09277967681728404,6.929049015045166,0.003304081968963146
gru,128,0.001,relu,0.013875560055959569,0.09481970685572501,6.928313970565796,0.002697827061638236
gru,128,0.0001,tanh,0.01898489269893009,0.1125043717173461,7.482446908950806,0.004236924462020397
gru,128,0.0001,relu,0.015394859046340682,0.10077567636179033,8.581874132156372,0.00449385354295373
